18S_Euk_seq_number	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5q-S122
Eukaryota;Mollusca;Bivalvia;Cardiida;Psammobiidae;Hiatula;Hiatula diphos	89	129	38	40	1	17	896	284	404	17	1165	26	7	83	18	27	33	83	5	47	465	113	500	12	103	244	405	13	71	214	19	315	3667	0	25	1250	4	9	298	3	294	27	257	548	0	299	69	395	333	0	59	0	0	51	0
Eukaryota;Chlorophyta	9	19	23	5	0	16	36	25	26	1	10	3	2	4	7	2	5	50	4	3	0	7	8	0	14	1	18	0	3	29	22	36	35	0	13	161	2	4	30	0	6	30	31	15	0	268	74	27	9	0	2	0	0	54	0
Eukaryota;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp.	51	146	171	0	1	3	46	196	520	278	10	3	4	3	81	1	0	414	34	11	4	81	15	11	82	1	5	0	6	125	144	65	73	0	10	181	411	0	96	1	68	8	28	6	0	76	16	62	5	0	1	0	0	6	0
Eukaryota;NA;Cryptophyceae	442	806	709	264	2	39	236	904	568	231	692	597	91	90	532	431	292	1651	182	251	444	266	828	501	470	151	457	3	288	417	588	496	255	0	1256	1462	108	12	523	282	291	51	308	578	0	650	138	583	340	0	52	0	0	86	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Acinetosporaceae;Pylaiella;Pylaiella littoralis	0	0	0	1	0	1	0	1	0	0	12	1	2	1	0	2	0	0	0	0	1	0	14	0	0	2	8	0	0	0	1	1	0	0	3	3	0	6	1	0	0	13	0	3	0	9	36	0	6	0	3	0	0	14	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis turris	5	7	4	0	0	0	3	5	9	2	5	1	0	1	4	0	0	15	2	0	1	2	9	2	3	0	3	1	5	10	9	6	1	0	3	12	5	0	7	1	2	1	4	6	0	7	4	4	3	0	3	0	0	2	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas australis	69	95	77	15	0	6	37	110	102	9	128	14	2	5	73	14	19	264	30	42	28	31	137	14	77	3	24	1	76	57	91	76	33	0	16	219	32	2	80	12	38	10	54	39	0	98	22	98	35	0	4	0	0	15	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Halothrix;Halothrix ambigua	2	3	5	0	0	6	9	8	5	1	19	2	2	22	5	1	7	7	1	0	14	3	27	4	6	3	34	1	5	4	2	11	15	0	6	54	1	6	2	0	3	14	10	40	0	106	40	4	42	0	17	0	0	15	0
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae	1	35	52	0	0	0	0	28	2	0	1	0	1	19	3	0	8	27	2	0	1	0	74	2	1	1	57	0	0	21	13	3	13	0	12	6	0	10	0	0	1	1	6	66	0	3	6	2	87	0	16	0	0	0	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Cymbomonas;Cymbomonas tetramitiformis	412	632	573	11	0	13	173	646	554	3	15	25	5	4	508	16	7	1689	258	8	24	397	22	25	507	3	47	0	4	260	376	393	107	0	144	1910	156	0	497	0	333	28	414	57	0	519	151	473	30	0	1	0	0	88	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas	87	137	99	22	0	7	56	138	134	5	127	15	2	12	89	11	16	229	38	63	29	47	166	16	109	15	40	2	81	72	96	121	47	0	28	248	37	2	103	15	383	5	56	39	0	152	32	146	17	0	5	0	0	24	1
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Thraustochytrium;Thraustochytrium sp. LLF1b	10	27	40	2	0	21	37	49	72	3	61	7	2	18	28	9	24	38	5	18	35	23	95	13	23	7	97	0	27	31	25	131	74	0	30	437	9	14	71	4	31	48	115	114	0	362	169	157	83	0	44	0	0	61	1
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;NA;Thraustochytriidae sp. thel2	0	9	20	2	0	3	4	19	0	5	32	10	6	40	3	6	59	15	0	14	27	5	128	15	4	8	132	0	10	9	11	10	11	0	43	28	2	40	2	4	2	6	11	164	0	7	16	8	115	0	68	0	0	0	0
Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Amphitrite	1	2	3	7	0	9	4	4	5	1	25	1	0	5	2	2	4	4	1	1	23	2	20	5	7	11	20	0	0	2	1	7	1	0	4	29	4	5	4	0	1	8	2	27	0	205	42	14	28	0	5	0	0	21	1
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia	1	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	5	0	1	1	0	0	1	3	0	0	3	0	2	0	0	0	0	0	1	0
Eukaryota;Porifera;Calcarea;Leucosolenida;Leucosoleniidae;Leucosolenia	3	1	5	1	0	2	2	6	19	0	3	0	1	0	6	2	5	9	2	7	3	1	8	2	3	1	10	0	1	0	13	56	4	0	8	214	1	1	12	0	1	2	32	10	0	28	10	99	1	0	1	0	0	2	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros	45	50	97	13	1	1	33	70	86	4	170	20	3	10	51	18	14	136	36	56	25	23	160	15	89	13	53	0	81	47	89	72	27	0	28	202	19	1	91	11	36	7	42	55	0	84	25	94	36	0	6	0	0	13	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Cyclotella;Cyclotella choctawhatcheeana	9	62	82	0	0	0	6	59	8	0	5	12	1	8	21	7	9	67	0	1	8	20	56	8	10	125	30	0	0	47	54	50	23	0	12	77	2	3	4	3	13	8	34	44	0	5	16	6	27	0	7	0	0	3	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus	122	71	44	4	0	10	44	46	3	0	214	72	11	11	22	43	212	59	94	2	68	0	67	66	49	0	1	0	21	32	14	12	23	0	93	208	3	9	30	0	126	12	19	0	0	48	34	55	26	0	54	1	0	4	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae	25	118	90	5	0	4	12	73	30	1	46	23	1	14	36	9	13	90	7	4	37	11	96	15	44	3	88	0	30	34	53	77	29	0	27	144	8	7	23	3	31	11	58	137	0	28	31	25	83	0	14	0	0	3	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Berkeleyaceae;Parlibellus;Parlibellus delognei	34	63	184	15	3	12	180	130	33	2	5	4	1	10	96	5	9	303	12	0	122	99	6	3	32	6	45	0	1	120	65	41	95	0	15	318	4	10	45	13	121	66	159	54	0	101	166	25	33	0	26	0	0	18	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Scytosiphonaceae	3	20	14	21	0	17	22	10	14	0	53	4	5	35	8	4	21	21	1	15	31	9	92	7	12	18	61	0	11	13	17	21	45	0	18	121	1	11	17	1	3	20	15	92	0	284	87	16	101	0	22	0	0	38	0
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Hartmannula;Hartmannula derouxi	11	24	634	0	0	47	60	54	66	0	6	3	0	0	22	1	0	444	6	2	7	59	4	0	61	0	7	0	0	204	24	314	76	0	4	597	5	1	67	0	33	110	116	7	0	149	334	414	0	0	3	0	0	35	0
Eukaryota;NA;Phaeophyceae;Fucales;Fucaceae;Fucus;Fucus gardneri	6	7	16	12	0	15	47	14	56	5	19	7	1	7	19	4	12	32	11	9	38	17	8	6	19	6	31	0	8	29	17	48	20	0	23	250	1	3	47	0	23	23	50	49	0	243	66	59	27	0	9	0	0	37	0
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp. NIES-1333	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Ceramium	3	18	40	0	0	3	18	26	50	0	2	0	0	2	4	0	0	32	6	0	0	19	5	1	14	0	11	0	0	18	7	37	56	0	1	63	2	2	15	0	14	10	24	5	0	46	74	81	2	0	4	0	0	9	0
Eukaryota;NA;Phaeophyceae;Fucales;Fucaceae;Fucus	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	1	0	1	0	1	2	0	0	2	0	0	2	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Dorvillea;Dorvillea cf. similis	0	1	3	0	0	0	7	3	0	3	1	2	1	0	1	3	1	2	0	3	0	0	1	0	2	1	1	0	3	9	4	0	2	0	3	5	1	0	1	0	0	4	1	2	0	52	9	4	2	0	0	0	0	2	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. AAA795-N17	1	7	10	3	0	0	0	2	13	0	7	0	0	3	2	0	1	15	1	2	9	1	20	1	0	3	10	0	0	4	9	1	2	0	3	6	0	4	3	0	1	1	1	15	0	0	2	3	9	0	4	0	0	0	0
Eukaryota;Cercozoa;Imbricatea;Thaumatomonadida;NA;Allas;Allas sp.	6	30	47	92	3	1	92	20	28	11	73	36	9	32	27	24	66	42	5	12	78	20	92	23	14	31	152	0	26	37	16	13	18	0	55	52	194	15	20	0	20	8	10	182	0	25	21	24	136	0	41	0	0	4	2
Eukaryota;NA;Cryptophyceae;Cryptomonadales;Hemiselmidaceae;Hemiselmis;Hemiselmis cryptochromatica	81	107	110	12	1	5	52	126	113	17	208	48	12	15	68	28	27	272	45	67	66	51	181	26	102	22	78	1	88	87	107	80	48	0	45	243	40	652	132	18	42	3	50	111	0	112	12	94	65	0	856	0	0	13	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae	11	67	27	6	0	1	1	57	26	1	231	24	9	26	25	25	47	44	5	61	27	22	551	34	23	9	135	3	121	21	53	94	9	0	32	22	9	9	20	62	12	9	8	177	0	48	28	22	86	0	27	0	0	2	0
Eukaryota;Arthropoda;Thecostraca	19	24	667	346	1	75	504	20	124	22	14	254	40	5	52	173	19	107	17	20	18	1325	11	390	28	15	10	15	12	167	25	2180	37	0	9	7366	122	10	359	4	35	20	1396	17	0	1202	85	2964	11	0	3	0	0	276	0
Eukaryota;NA;Phaeophyceae;Ectocarpales	1	29	15	16	2	7	12	10	20	11	215	7	4	91	2	4	50	21	1	5	162	13	267	17	8	25	275	1	9	14	9	18	18	0	42	101	4	48	7	3	8	25	24	320	0	46	68	16	261	0	97	0	0	13	1
Eukaryota;Echinodermata;Holothuroidea;Apodida;Synaptidae	0	0	0	0	0	1	4	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	2	2	0	0	0	0	0	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva	14	16	48	38	0	2	73	20	72	57	423	23	6	49	30	20	41	66	7	28	155	20	409	38	22	23	257	3	33	25	37	57	23	0	70	245	37	25	44	4	25	7	33	373	0	112	12	81	304	0	147	0	0	5	1
Eukaryota;Mollusca;Gastropoda;Neogastropoda;Columbellidae;Mitrella;Mitrella bicincta	0	1	6	2	0	19	165	36	6	0	353	1	0	2	141	1	1	12	0	2	2	7	8	0	25	191	1	0	0	20	10	394	2	0	0	45	329	2	3	1	238	19	12	1	0	50	39	258	737	0	1	0	0	61	0
Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Bicosta;Bicosta minor	19	50	47	2	0	1	20	59	45	6	83	11	1	5	39	15	13	102	16	17	27	28	75	13	49	8	44	2	43	22	26	55	18	0	29	140	17	0	59	8	16	6	21	45	0	38	16	44	35	0	6	0	0	7	0
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax acuta	68	108	103	19	1	5	45	116	118	11	105	47	3	17	58	28	30	211	40	32	79	40	174	30	66	17	73	1	63	70	80	54	45	0	66	172	22	1	100	11	38	6	29	90	0	120	19	80	74	0	12	0	0	21	1
Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Granulosicoccaceae;Granulosicoccus;Granulosicoccus sp. SS10.26	1	1	6	1	0	1	0	4	7	1	9	1	0	4	2	1	3	2	0	1	7	2	26	1	0	1	16	0	2	7	2	16	3	0	3	16	0	4	2	0	1	6	1	22	0	4	11	4	19	0	7	0	0	1	0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;Nannochloris sp. NIES-3880	9	39	64	5	0	0	1	43	11	1	15	2	2	12	5	2	7	58	2	3	0	4	55	6	16	2	62	0	0	33	33	8	20	0	8	24	3	9	5	4	8	3	5	69	0	8	14	3	80	0	10	0	0	0	0
Eukaryota;Cercozoa;Thecofilosea;NA;Ebriacea;Ebria;Ebria tripartita	73	272	387	16	0	5	78	226	252	1	151	2	4	42	20	3	24	462	6	7	31	24	215	6	67	64	50	0	0	347	575	76	115	0	1968	63	19	15	93	5	16	19	37	70	0	51	48	122	70	0	666	0	0	9	0
Eukaryota;Ciliophora	65	211	213	7	1	13	9	124	196	3	193	9	2	2	40	9	6	292	97	1	44	61	223	18	109	4	30	1	12	50	70	146	49	0	10	237	25	4	59	83	668	8	43	31	0	156	31	142	64	0	8	0	0	14	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla	58	109	1071	13	0	4	54	143	96	6	124	33	25	13	85	14	8	334	20	32	54	385	116	15	42	17	56	2	30	74	108	85	97	0	25	353	22	3	81	5	43	8	50	75	0	109	24	76	41	0	231	0	0	9	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus	61	156	188	25	0	6	70	173	87	11	142	39	10	24	65	21	14	390	18	34	59	64	152	15	45	21	80	2	30	128	113	119	66	0	34	436	19	1	74	11	42	9	72	116	0	141	36	80	64	0	7	0	0	17	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae	3	2	1	8	0	0	18	1	13	1	35	1	3	1	0	1	2	2	0	1	15	3	19	1	5	1	8	0	2	4	1	6	2	0	4	65	0	2	12	1	3	1	8	13	0	17	0	18	10	0	8	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	24	72	57	1	0	2	14	55	54	0	13	5	3	7	30	4	9	139	7	2	4	21	35	6	18	6	21	0	6	46	51	19	25	0	8	74	7	3	29	1	11	8	19	36	0	15	16	19	23	0	20	0	0	3	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Ceratiaceae;Tripos	68	60	66	3	0	2	25	21	23	0	9	6	1	5	41	0	5	26	7	0	14	17	33	0	16	1	0	0	0	17	37	9	29	0	0	9	5	0	47	0	10	6	16	0	0	3	13	19	52	0	9	0	0	1	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	15	77	145	13	0	2	21	42	140	20	69	17	18	70	37	17	41	120	5	5	55	79	187	78	12	138	153	1	10	65	77	39	70	0	103	61	29	53	28	8	22	14	18	210	0	29	48	20	257	0	178	0	0	21	0
Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Pseudochitinopoma;Pseudochitinopoma occidentalis	11	18	28	3	0	2	67	23	26	0	0	2	1	0	13	0	0	42	5	16	1	6	1	0	15	9	0	0	1	33	20	22	72	0	1	74	34	0	12	0	4	8	9	0	0	45	17	25	0	0	0	0	0	4	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae	0	2	5	2	0	1	11	6	14	1	6	0	0	1	3	1	1	2	2	1	0	7	3	1	6	3	10	0	0	11	1	14	13	0	2	59	0	31	4	0	8	1	13	12	0	20	15	15	13	0	3	0	0	6	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Aoridae;Aoroides;Aoroides columbiae	3	1	2	0	0	1	7	9	0	1	8	2	1	4	5	1	3	2	1	2	9	1	1	0	3	8	3	0	0	11	1	21	5	0	1	139	0	20	5	0	3	3	41	0	0	618	2	14	1	0	0	0	0	4	0
Eukaryota;Ascomycota	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	2	0	0	7	0	0	0	0	0	1	0	1	0	0	0	1	5	0	0	0	0	0	0
Eukaryota;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp.	27	46	51	8	0	2	9	52	33	14	53	3	3	4	43	9	10	118	12	16	24	23	70	7	29	6	22	0	18	23	49	38	12	0	18	118	10	0	51	3	21	4	19	39	0	53	15	25	26	0	3	0	0	7	0
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax	0	1	2	2	0	0	1	0	4	3	1	4	0	2	2	0	2	7	0	1	5	3	3	1	2	2	4	0	2	0	5	0	2	0	8	8	1	0	2	1	1	1	4	5	0	2	0	1	3	0	1	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa	0	1	0	1	0	0	1	3	3	0	7	0	0	2	1	0	1	0	0	0	4	0	1	1	0	0	1	0	0	1	0	18	1	0	1	60	0	0	0	0	0	2	7	1	0	5	5	19	0	0	1	0	0	1	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium sp. SBB99-1	0	51	1	0	0	2	3	3	1	0	0	0	0	1	0	1	0	1	12	0	0	7	0	2	1	0	0	0	1	31	56	52	3	0	0	0	34	0	11	0	40	4	1	0	0	152	10	31	0	0	2	0	0	1	0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae	0	0	8	0	0	1	4	1	9	0	3	1	0	1	2	3	4	4	0	1	4	5	12	1	1	5	11	0	2	5	3	7	6	0	3	8	1	3	6	0	3	11	6	19	0	9	19	5	19	0	9	0	0	7	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae;Salpingella;Salpingella sp.	16	38	26	13	0	6	32	57	29	11	68	11	3	11	26	5	9	51	9	17	11	10	87	0	63	12	4	3	75	9	27	51	15	0	11	26	28	1	57	6	12	5	15	5	0	95	9	94	8	0	5	0	0	4	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda	1	4	1	3	0	0	0	4	4	0	3	0	0	1	1	0	2	5	1	3	1	1	1	3	2	0	0	0	1	1	0	1	5	0	1	6	1	0	2	0	1	1	1	2	0	2	0	0	3	0	12	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria	15	27	68	7	1	2	14	28	61	21	31	14	13	21	10	13	24	73	3	7	42	22	110	64	12	29	95	0	11	43	41	29	30	0	22	44	24	22	19	9	13	10	17	140	0	24	34	10	124	0	73	0	0	34	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales	0	0	7	1	0	1	4	1	2	0	10	0	1	3	2	1	4	0	1	0	6	3	19	5	1	3	13	0	3	2	0	4	10	0	5	0	1	3	3	0	2	2	5	20	0	21	6	6	23	0	6	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida	1	1	9	66	0	10	11	7	9	9	272	11	6	34	10	12	45	9	4	5	92	4	189	10	15	52	211	3	91	53	2	15	11	0	7	55	1	16	28	2	1	3	2	262	0	74	13	17	112	0	22	0	0	8	0
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Thraustochytrium	1	3	4	0	0	2	2	2	6	0	4	0	0	4	1	0	4	3	0	3	3	4	15	4	0	3	18	0	2	1	1	6	6	0	10	28	0	5	7	1	0	1	4	20	0	10	3	5	15	0	7	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;Actinocyclus curvatulus	11	34	53	8	0	1	8	31	12	6	20	51	16	21	13	20	61	117	8	3	31	13	60	17	88	3	110	0	17	16	25	21	4	0	57	168	10	16	2	2	20	7	98	152	0	15	22	0	152	0	14	0	0	2	0
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex	20	46	38	8	0	4	9	54	34	1	26	4	1	2	25	2	2	83	8	15	11	7	31	2	19	0	10	1	4	27	30	26	12	0	3	75	3	0	18	2	15	2	19	6	0	36	10	23	13	0	2	0	0	9	1
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium blankum	0	0	10	0	1	0	5	3	3	0	22	0	0	2	0	1	3	5	0	3	4	3	22	2	1	2	19	0	11	2	5	6	4	0	3	14	0	1	2	0	1	6	9	8	0	15	9	5	7	0	2	0	0	3	0
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	3	0	0	3	0	0	0	0	4	1	0	4	1	0	4	0	0	0	1	0	3	0	0	1	0	0	0	16	0	0	0	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;Acrosiphonia sp. SAG 127.80	25	38	35	4	0	20	256	91	168	0	27	1	0	7	28	1	22	118	17	6	16	85	51	89	45	5	23	0	2	121	49	141	50	0	1	575	7	15	137	1	55	13	118	30	0	277	60	113	23	0	3	0	0	27	0
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium excentricum	0	0	0	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Noctilucales;Noctilucaceae;Noctiluca;Noctiluca sp.	51	1	561	30	0	2	3	0	11	0	16	14	3	29	53	16	27	199	3	7	4	86	55	17	13	0	0	0	0	12	56	36	0	0	38	30	13	3	13	2	21	3	5	0	0	8	11	14	56	0	0	0	0	1	0
Eukaryota;Bacillariophyta;Fragilariophyceae	0	4	6	4	0	0	0	7	1	1	1	2	1	11	1	0	5	5	1	0	14	1	12	7	1	4	17	0	0	3	0	1	7	0	4	9	1	5	0	0	4	3	2	23	0	0	14	1	13	0	11	0	0	1	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Monostromataceae;Monostroma;Monostroma grevillei	0	4	3	1	0	1	6	3	2	0	1	1	0	0	1	0	2	11	0	0	1	3	2	0	3	0	3	0	2	7	0	9	2	0	0	30	0	1	5	0	2	3	6	2	0	50	8	4	2	0	0	0	0	11	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae	19	15	39	16	0	8	34	23	47	7	50	3	0	0	25	2	6	61	4	4	67	12	35	4	34	11	55	0	4	19	34	64	17	0	4	218	7	2	24	2	18	9	43	55	0	67	31	19	29	0	11	0	0	8	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Bolbocoleonaceae;Bolbocoleon;Bolbocoleon piliferum	2	7	4	2	0	5	6	3	9	1	35	4	1	10	2	9	18	5	0	6	8	3	60	15	2	0	43	1	14	7	1	1	12	0	20	19	0	6	13	0	2	4	1	43	0	42	7	5	37	0	7	0	0	7	0
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium	12	11	10	17	0	0	0	12	5	12	2	17	2	2	16	10	10	23	1	1	28	4	2	9	10	4	9	0	2	2	5	8	1	0	17	9	0	0	1	0	6	1	7	12	0	4	1	4	6	0	0	0	0	5	1
Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Orchitophryidae;Mesanophrys;Mesanophrys carcini	0	0	3	11	0	0	7	0	2	9	2	9	0	1	4	3	8	8	0	2	20	4	1	6	7	4	1	0	6	0	0	2	4	0	24	16	0	0	5	0	3	2	17	1	0	17	9	12	15	0	3	0	0	3	0
Eukaryota;NA;NA;Telonemida;NA;Telonema;Telonema antarcticum	73	84	72	7	0	8	24	82	75	4	74	13	0	9	63	4	10	149	32	26	6	28	108	9	59	7	18	1	29	46	73	56	33	0	13	61	29	1	85	7	25	4	26	30	0	93	22	90	15	0	4	0	0	7	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora cf. capitellata	0	2	4	2	0	0	8	8	3	0	0	6	0	3	4	2	10	11	0	0	18	3	13	1	4	2	14	0	0	11	3	11	8	0	5	19	0	4	4	0	354	3	15	17	0	11	11	3	7	0	7	0	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus spinulatus	2	13	14	0	0	0	0	13	3	2	6	3	2	3	5	1	3	11	2	2	4	4	28	2	4	2	15	0	1	11	11	6	12	0	4	10	1	0	4	0	4	1	2	13	0	5	5	5	14	0	2	0	0	2	0
